scenario,text,labels,time_phrase,id
VAN_PHONG,thứ 5 phải trao đổi kế hoạch.,HEN_LICH,thứ 5,48
VAN_PHONG,thứ 3 phải lịch hẹn kế hoạch.,HEN_LICH,thứ 3,49
CA_NHAN,thứ 5 phải nhớ quà sinh nhật.,NHAC_VIEC,thứ 5,50
VAN_PHONG,trả lời email tài liệu vào cuối tuần.,GUI_EMAIL,cuối tuần,51
CA_NHAN,thứ 7 đi gặp bạn bè.,HEN_CA_NHAN,thứ 7,52
TRUONG_HOC,tối nay phải chuẩn bị bài môn toán.,HOC_TAP,tối nay,53
VAN_PHONG,gửi báo cáo tài liệu trước 8h.,NOP_BAO_CAO,chiều mai,54
VAN_PHONG,soạn email tài liệu vào thứ 7.,GUI_EMAIL,thứ 7,55
VAN_PHONG,thứ 3 hẹn gặp kế hoạch.,HEN_LICH,thứ 3,56
CA_NHAN,phải làm bác sĩ vào tối nay.,NHAC_VIEC,tối nay,57
TRUONG_HOC,chuẩn bị bài môn lập trình trong hôm nay.,HOC_TAP,thứ 6,58
TRUONG_HOC,thứ 3 phải chuẩn bị bài bài tập nhóm.,HOC_TAP,thứ 3,59
TRUONG_HOC,thứ 5 có học bài môn toán.,HOC_TAP,thứ 5,60
VAN_PHONG,thứ 2 có gửi báo cáo dự án.,NOP_BAO_CAO,thứ 2,61
VAN_PHONG,ngày kia phải hoàn thành báo cáo công việc.,NOP_BAO_CAO,ngày kia,62
TRUONG_HOC,thứ 5 phải chuẩn bị bài môn toán.,HOC_TAP,thứ 5,63
CA_NHAN,thứ 7 có lịch hẹn đồ dùng cá nhân.,HEN_CA_NHAN,thứ 7,64
TRUONG_HOC,ngày mai có học bài môn lập trình.,HOC_TAP,ngày mai,65
VAN_PHONG,thứ 6 soạn email hợp đồng.,GUI_EMAIL,thứ 6,66
TRUONG_HOC,ngày mai phải thi giữa kỳ bài tập nhóm.,THI_CU,ngày mai,67
VAN_PHONG,hôm nay phải lịch hẹn công việc.,HEN_LICH,hôm nay,68
TRUONG_HOC,học bài môn lập trình trước 10h.,HOC_TAP,thứ 5,69
CA_NHAN,ngày mai đi mua gia đình.,MUA_SAM,ngày mai,70
CA_NHAN,thứ 3 hẹn bác sĩ.,HEN_CA_NHAN,thứ 3,71
TRUONG_HOC,ngày mai hoàn thành bài tập môn văn.,NOP_BAI,ngày mai,72
TRUONG_HOC,nộp bài tập bài tập nhóm trước 17h.,NOP_BAI,thứ 5,73
VAN_PHONG,ngày mai có trao đổi kế hoạch.,HEN_LICH,ngày mai,74
VAN_PHONG,nộp báo cáo công việc trước 17h.,NOP_BAO_CAO,sáng mai,75
VAN_PHONG,sáng mai có trả lời email tài liệu.,GUI_EMAIL,sáng mai,76
TRUONG_HOC,nộp bài tập môn toán trước 8h.,NOP_BAI,hôm nay,77
CA_NHAN,thứ 2 đi gặp đồ dùng cá nhân.,HEN_CA_NHAN,thứ 2,78
CA_NHAN,đi mua đồ dùng cá nhân vào thứ 7.,MUA_SAM,thứ 7,79
CA_NHAN,thứ 2 phải phải làm bạn bè.,NHAC_VIEC,thứ 2,80
CA_NHAN,thứ 5 đặt mua bạn bè.,MUA_SAM,thứ 5,81
VAN_PHONG,thứ 5 họp công việc.,HEN_LICH,thứ 5,82
VAN_PHONG,chủ nhật có báo cáo tiến độ công việc.,THEO_DOI_CONG_VIEC,chủ nhật,83
VAN_PHONG,thứ 3 theo dõi tiến độ kế hoạch.,THEO_DOI_CONG_VIEC,thứ 3,84
TRUONG_HOC,thứ 4 thi giữa kỳ bài tập nhóm.,THI_CU,thứ 4,85
TRUONG_HOC,học bài môn văn vào hôm nay.,HOC_TAP,hôm nay,86
VAN_PHONG,sáng mai phải cập nhật tiến độ tài liệu.,THEO_DOI_CONG_VIEC,sáng mai,87
CA_NHAN,cuối tuần phải lịch hẹn gia đình.,HEN_CA_NHAN,cuối tuần,88
TRUONG_HOC,thứ 3 phải nộp bài tập môn toán.,NOP_BAI,thứ 3,89
VAN_PHONG,thứ 5 có hoàn thành báo cáo tài liệu.,NOP_BAO_CAO,thứ 5,90
CA_NHAN,chiều mai phải nhắc gia đình.,NHAC_VIEC,chiều mai,91
VAN_PHONG,báo cáo tiến độ tài liệu trong hôm nay.,THEO_DOI_CONG_VIEC,ngày kia,92
CA_NHAN,tối nay phải đi gặp quà sinh nhật.,HEN_CA_NHAN,tối nay,93
VAN_PHONG,sáng mai họp kế hoạch.,HEN_LICH,sáng mai,94
TRUONG_HOC,sáng mai phải họp lớp môn toán.,HOP_LOP,sáng mai,95
TRUONG_HOC,thi môn tiếng Anh trước 8h.,THI_CU,tối nay,96
CA_NHAN,đi gặp quà sinh nhật vào ngày mai.,HEN_CA_NHAN,ngày mai,97
TRUONG_HOC,chiều mai phải nộp bài tập môn văn.,NOP_BAI,chiều mai,98
VAN_PHONG,ngày mai có cập nhật tiến độ hợp đồng.,THEO_DOI_CONG_VIEC,ngày mai,99
VAN_PHONG,ngày kia có nộp báo cáo tài liệu.,NOP_BAO_CAO,ngày kia,100
CA_NHAN,chủ nhật phải đặt mua gia đình.,MUA_SAM,chủ nhật,101
VAN_PHONG,thứ 3 theo dõi tiến độ hợp đồng.,THEO_DOI_CONG_VIEC,thứ 3,102
CA_NHAN,đi gặp đồ dùng cá nhân trước thứ 6.,HEN_CA_NHAN,thứ 3,103
TRUONG_HOC,sinh hoạt lớp môn tiếng Anh trước 8h.,HOP_LOP,tối nay,104
VAN_PHONG,gửi email hợp đồng vào hôm nay.,GUI_EMAIL,hôm nay,105
VAN_PHONG,thứ 2 cập nhật tiến độ hợp đồng.,THEO_DOI_CONG_VIEC,thứ 2,106
CA_NHAN,thứ 3 phải lịch hẹn quà sinh nhật.,HEN_CA_NHAN,thứ 3,107
CA_NHAN,ngày mai có đặt mua gia đình.,MUA_SAM,ngày mai,108
VAN_PHONG,hôm nay cập nhật tiến độ hợp đồng.,THEO_DOI_CONG_VIEC,hôm nay,109
TRUONG_HOC,sinh hoạt lớp môn lập trình vào chiều mai.,HOP_LOP,chiều mai,110
TRUONG_HOC,cuối tuần sinh hoạt lớp môn toán.,HOP_LOP,cuối tuần,111
TRUONG_HOC,thứ 2 thi cuối kỳ môn toán.,THI_CU,thứ 2,112
CA_NHAN,nhớ gia đình vào ngày mai.,NHAC_VIEC,ngày mai,113
CA_NHAN,tối nay hẹn đồ dùng cá nhân.,HEN_CA_NHAN,tối nay,114
TRUONG_HOC,sáng mai phải nộp bài môn lập trình.,NOP_BAI,sáng mai,115
TRUONG_HOC,sinh hoạt lớp môn văn vào tối nay.,HOP_LOP,tối nay,116
VAN_PHONG,thứ 2 báo cáo tiến độ tài liệu.,THEO_DOI_CONG_VIEC,thứ 2,117
VAN_PHONG,tối nay có cập nhật tiến độ tài liệu.,THEO_DOI_CONG_VIEC,tối nay,118
TRUONG_HOC,hoàn thành bài tập môn văn vào ngày kia.,NOP_BAI,ngày kia,119
TRUONG_HOC,chiều mai có thi giữa kỳ môn lập trình.,THI_CU,chiều mai,120
TRUONG_HOC,học bài môn tiếng Anh vào thứ 7.,HOC_TAP,thứ 7,121
VAN_PHONG,hoàn thành báo cáo kế hoạch trước 10h.,NOP_BAO_CAO,ngày mai,122
TRUONG_HOC,học bài môn lập trình vào tối nay.,HOC_TAP,tối nay,123
VAN_PHONG,nộp báo cáo dự án trước 17h.,NOP_BAO_CAO,ngày kia,124
VAN_PHONG,gửi email công việc trước ngày mai.,GUI_EMAIL,thứ 3,125
VAN_PHONG,meeting hợp đồng trước thứ 6.,HEN_LICH,thứ 5,126
VAN_PHONG,cập nhật tiến độ công việc vào tối nay.,THEO_DOI_CONG_VIEC,tối nay,127
TRUONG_HOC,thứ 7 phải kiểm tra bài tập nhóm.,THI_CU,thứ 7,128
VAN_PHONG,gửi email hợp đồng vào thứ 5.,GUI_EMAIL,thứ 5,129
TRUONG_HOC,thi môn văn vào hôm nay.,THI_CU,hôm nay,130
CA_NHAN,nhắc bác sĩ trước ngày mai.,NHAC_VIEC,thứ 5,131
TRUONG_HOC,thứ 2 phải họp lớp môn toán.,HOP_LOP,thứ 2,132
CA_NHAN,ngày mai mua đồ dùng cá nhân.,MUA_SAM,ngày mai,133
VAN_PHONG,hôm nay có nộp báo cáo tài liệu.,NOP_BAO_CAO,hôm nay,134
VAN_PHONG,chiều mai soạn email hợp đồng.,GUI_EMAIL,chiều mai,135
VAN_PHONG,lịch hẹn tài liệu vào chủ nhật.,HEN_LICH,chủ nhật,136
TRUONG_HOC,hôm nay có chuẩn bị bài môn toán.,HOC_TAP,hôm nay,137
TRUONG_HOC,thứ 6 phải thi giữa kỳ môn văn.,THI_CU,thứ 6,138
CA_NHAN,chiều mai có lịch hẹn đồ dùng cá nhân.,HEN_CA_NHAN,chiều mai,139
VAN_PHONG,hẹn gặp hợp đồng vào sáng mai.,HEN_LICH,sáng mai,140
VAN_PHONG,gửi email hợp đồng vào thứ 4.,GUI_EMAIL,thứ 4,141
VAN_PHONG,soạn email hợp đồng vào thứ 4.,GUI_EMAIL,thứ 4,142
VAN_PHONG,lịch hẹn tài liệu vào ngày mai.,HEN_LICH,ngày mai,143
VAN_PHONG,thứ 6 có gửi email kế hoạch.,GUI_EMAIL,thứ 6,144
TRUONG_HOC,chủ nhật phải hoàn thành bài tập môn tiếng Anh.,NOP_BAI,chủ nhật,145
TRUONG_HOC,ngày kia họp lớp bài tập nhóm.,HOP_LOP,ngày kia,146
VAN_PHONG,thứ 5 trao đổi kế hoạch.,HEN_LICH,thứ 5,147
VAN_PHONG,chiều mai cập nhật tiến độ công việc.,THEO_DOI_CONG_VIEC,chiều mai,148
VAN_PHONG,gửi email kế hoạch vào sáng mai.,GUI_EMAIL,sáng mai,149
VAN_PHONG,cuối tuần có soạn email hợp đồng.,GUI_EMAIL,cuối tuần,150
TRUONG_HOC,ngày mai ôn bài môn toán.,HOC_TAP,ngày mai,151
TRUONG_HOC,họp lớp bài tập nhóm vào tối nay.,HOP_LOP,tối nay,152
TRUONG_HOC,thi cuối kỳ môn toán vào hôm nay.,THI_CU,hôm nay,153
VAN_PHONG,thứ 2 có soạn email hợp đồng.,GUI_EMAIL,thứ 2,154
CA_NHAN,nhắc đồ dùng cá nhân vào thứ 2.,NHAC_VIEC,thứ 2,155
VAN_PHONG,ngày mai theo dõi tiến độ hợp đồng.,THEO_DOI_CONG_VIEC,ngày mai,156
TRUONG_HOC,chủ nhật có chuẩn bị bài môn toán.,HOC_TAP,chủ nhật,157
TRUONG_HOC,chiều mai có thi môn lập trình.,THI_CU,chiều mai,158
TRUONG_HOC,tối nay thi bài tập nhóm.,THI_CU,tối nay,159
VAN_PHONG,nộp báo cáo hợp đồng vào chiều mai.,NOP_BAO_CAO,chiều mai,160
TRUONG_HOC,thứ 6 sinh hoạt lớp môn văn.,HOP_LOP,thứ 6,161
CA_NHAN,chủ nhật có phải làm bạn bè.,NHAC_VIEC,chủ nhật,162
TRUONG_HOC,ngày mai phải sinh hoạt lớp bài tập nhóm.,HOP_LOP,ngày mai,163
TRUONG_HOC,ngày mai ôn bài môn tiếng Anh.,HOC_TAP,ngày mai,164
TRUONG_HOC,ngày mai có kiểm tra môn tiếng Anh.,THI_CU,ngày mai,165
CA_NHAN,lịch hẹn bác sĩ vào thứ 5.,HEN_CA_NHAN,thứ 5,166
VAN_PHONG,thứ 6 phải nộp báo cáo hợp đồng.,NOP_BAO_CAO,thứ 6,167
CA_NHAN,tối nay có đặt mua bác sĩ.,MUA_SAM,tối nay,168
TRUONG_HOC,thứ 3 có thi giữa kỳ môn lập trình.,THI_CU,thứ 3,169
VAN_PHONG,thứ 2 phải theo dõi tiến độ kế hoạch.,THEO_DOI_CONG_VIEC,thứ 2,170
TRUONG_HOC,thứ 5 phải học bài môn toán.,HOC_TAP,thứ 5,171
CA_NHAN,sáng mai mua bác sĩ.,MUA_SAM,sáng mai,172
VAN_PHONG,cuối tuần có meeting kế hoạch.,HEN_LICH,cuối tuần,173
VAN_PHONG,gửi email dự án trước 10h.,GUI_EMAIL,hôm nay,174
CA_NHAN,thứ 7 phải lịch hẹn gia đình.,HEN_CA_NHAN,thứ 7,175
TRUONG_HOC,thi môn toán trong hôm nay.,THI_CU,sáng mai,176
TRUONG_HOC,thứ 4 ôn bài môn lập trình.,HOC_TAP,thứ 4,177
VAN_PHONG,chiều mai phải gửi email tài liệu.,GUI_EMAIL,chiều mai,178
VAN_PHONG,ngày kia có trả lời email công việc.,GUI_EMAIL,ngày kia,179
VAN_PHONG,thứ 7 nộp báo cáo hợp đồng.,NOP_BAO_CAO,thứ 7,180
TRUONG_HOC,nộp bài tập bài tập nhóm trước thứ 6.,NOP_BAI,ngày kia,181
VAN_PHONG,thứ 5 có gửi báo cáo công việc.,NOP_BAO_CAO,thứ 5,182
TRUONG_HOC,nộp bài tập bài tập nhóm vào thứ 4.,NOP_BAI,thứ 4,183
VAN_PHONG,soạn email kế hoạch vào thứ 5.,GUI_EMAIL,thứ 5,184
VAN_PHONG,thứ 5 meeting kế hoạch.,HEN_LICH,thứ 5,185
TRUONG_HOC,ngày kia thi cuối kỳ môn văn.,THI_CU,ngày kia,186
CA_NHAN,đi gặp đồ dùng cá nhân trong hôm nay.,HEN_CA_NHAN,ngày mai,187
TRUONG_HOC,ôn bài môn lập trình trước 10h.,HOC_TAP,thứ 3,188
VAN_PHONG,thứ 6 phải họp hợp đồng.,HEN_LICH,thứ 6,189
TRUONG_HOC,ôn bài môn tiếng Anh trước 8h.,HOC_TAP,thứ 4,190
CA_NHAN,chiều mai phải nhắc quà sinh nhật.,NHAC_VIEC,chiều mai,191
CA_NHAN,chủ nhật phải đi gặp đồ dùng cá nhân.,HEN_CA_NHAN,chủ nhật,192
TRUONG_HOC,chuẩn bị bài môn văn trước cuối tuần.,HOC_TAP,hôm nay,193
VAN_PHONG,ngày kia phải cập nhật tiến độ dự án.,THEO_DOI_CONG_VIEC,ngày kia,194
VAN_PHONG,lịch hẹn dự án vào thứ 5.,HEN_LICH,thứ 5,195
CA_NHAN,thứ 3 phải đi mua đồ dùng cá nhân.,MUA_SAM,thứ 3,196
TRUONG_HOC,thứ 7 phải sinh hoạt lớp môn tiếng Anh.,HOP_LOP,thứ 7,197
VAN_PHONG,trao đổi hợp đồng vào thứ 6.,HEN_LICH,thứ 6,198
CA_NHAN,thứ 5 nhắc đồ dùng cá nhân.,NHAC_VIEC,thứ 5,199
VAN_PHONG,trả lời email công việc vào ngày mai.,GUI_EMAIL,ngày mai,200
CA_NHAN,hôm nay phải đặt mua bác sĩ.,MUA_SAM,hôm nay,201
VAN_PHONG,soạn email tài liệu trước 8h.,GUI_EMAIL,ngày mai,202
TRUONG_HOC,chủ nhật ôn bài môn toán.,HOC_TAP,chủ nhật,203
VAN_PHONG,tối nay phải gửi báo cáo công việc.,NOP_BAO_CAO,tối nay,204
CA_NHAN,mua bác sĩ trước 17h.,MUA_SAM,cuối tuần,205
TRUONG_HOC,học bài bài tập nhóm vào thứ 3.,HOC_TAP,thứ 3,206
VAN_PHONG,thứ 2 có soạn email hợp đồng.,GUI_EMAIL,thứ 2,207
CA_NHAN,thứ 4 phải mua gia đình.,MUA_SAM,thứ 4,208
VAN_PHONG,theo dõi tiến độ công việc vào sáng mai.,THEO_DOI_CONG_VIEC,sáng mai,209
VAN_PHONG,hôm nay có gửi email tài liệu.,GUI_EMAIL,hôm nay,210
TRUONG_HOC,nộp bài tập bài tập nhóm vào sáng mai.,NOP_BAI,sáng mai,211
CA_NHAN,thứ 4 phải nhớ đồ dùng cá nhân.,NHAC_VIEC,thứ 4,212
TRUONG_HOC,thi môn tiếng Anh trước 10h.,THI_CU,thứ 2,213
CA_NHAN,hẹn quà sinh nhật trước 17h.,HEN_CA_NHAN,thứ 3,214
CA_NHAN,chiều mai phải phải làm bác sĩ.,NHAC_VIEC,chiều mai,215
VAN_PHONG,thứ 5 có soạn email hợp đồng.,GUI_EMAIL,thứ 5,216
VAN_PHONG,chủ nhật gửi báo cáo kế hoạch.,NOP_BAO_CAO,chủ nhật,217
VAN_PHONG,thứ 4 họp tài liệu.,HEN_LICH,thứ 4,218
CA_NHAN,thứ 5 có phải làm bạn bè.,NHAC_VIEC,thứ 5,219
CA_NHAN,lịch hẹn gia đình vào chủ nhật.,HEN_CA_NHAN,chủ nhật,220
VAN_PHONG,nộp báo cáo kế hoạch vào chiều mai.,NOP_BAO_CAO,chiều mai,221
VAN_PHONG,thứ 5 có hẹn gặp công việc.,HEN_LICH,thứ 5,222
VAN_PHONG,trao đổi công việc trước thứ 6.,HEN_LICH,chủ nhật,223
TRUONG_HOC,hôm nay họp lớp môn văn.,HOP_LOP,hôm nay,224
CA_NHAN,thứ 2 hẹn bạn bè.,HEN_CA_NHAN,thứ 2,225
VAN_PHONG,sáng mai phải trao đổi tài liệu.,HEN_LICH,sáng mai,226
TRUONG_HOC,chuẩn bị bài bài tập nhóm vào sáng mai.,HOC_TAP,sáng mai,227
CA_NHAN,ngày mai đi gặp gia đình.,HEN_CA_NHAN,ngày mai,228
CA_NHAN,phải làm quà sinh nhật vào hôm nay.,NHAC_VIEC,hôm nay,229
CA_NHAN,ngày kia nhắc đồ dùng cá nhân.,NHAC_VIEC,ngày kia,230
TRUONG_HOC,ngày mai có chuẩn bị bài môn toán.,HOC_TAP,ngày mai,231
CA_NHAN,hẹn quà sinh nhật trước cuối tuần.,HEN_CA_NHAN,sáng mai,232
TRUONG_HOC,thứ 7 phải kiểm tra môn toán.,THI_CU,thứ 7,233
TRUONG_HOC,ngày kia có chuẩn bị bài môn văn.,HOC_TAP,ngày kia,234
VAN_PHONG,cập nhật tiến độ tài liệu trước cuối tuần.,THEO_DOI_CONG_VIEC,thứ 2,235
TRUONG_HOC,thứ 5 phải họp lớp môn toán.,HOP_LOP,thứ 5,236
CA_NHAN,chủ nhật nhắc đồ dùng cá nhân.,NHAC_VIEC,chủ nhật,237
CA_NHAN,hôm nay lịch hẹn bác sĩ.,HEN_CA_NHAN,hôm nay,238
CA_NHAN,chiều mai hẹn bạn bè.,HEN_CA_NHAN,chiều mai,239
VAN_PHONG,chiều mai hoàn thành báo cáo dự án.,NOP_BAO_CAO,chiều mai,240
VAN_PHONG,gửi email tài liệu vào sáng mai.,GUI_EMAIL,sáng mai,241
VAN_PHONG,ngày mai nộp báo cáo kế hoạch.,NOP_BAO_CAO,ngày mai,242
CA_NHAN,thứ 6 phải đi gặp gia đình.,HEN_CA_NHAN,thứ 6,243
VAN_PHONG,thứ 4 có gửi báo cáo công việc.,NOP_BAO_CAO,thứ 4,244
VAN_PHONG,hôm nay có trả lời email công việc.,GUI_EMAIL,hôm nay,245
TRUONG_HOC,sinh hoạt lớp bài tập nhóm vào chiều mai.,HOP_LOP,chiều mai,246
VAN_PHONG,thứ 4 báo cáo tiến độ dự án.,THEO_DOI_CONG_VIEC,thứ 4,247
CA_NHAN,chủ nhật có mua bác sĩ.,MUA_SAM,chủ nhật,248
VAN_PHONG,thứ 2 theo dõi tiến độ tài liệu.,THEO_DOI_CONG_VIEC,thứ 2,249
VAN_PHONG,thứ 6 phải trả lời email dự án.,GUI_EMAIL,thứ 6,250
TRUONG_HOC,ngày kia phải thi giữa kỳ bài tập nhóm.,THI_CU,ngày kia,251
CA_NHAN,ngày mai hẹn bạn bè.,HEN_CA_NHAN,ngày mai,252
TRUONG_HOC,hoàn thành bài tập môn lập trình vào thứ 4.,NOP_BAI,thứ 4,253
TRUONG_HOC,thứ 4 có nộp bài tập môn toán.,NOP_BAI,thứ 4,254
TRUONG_HOC,họp lớp môn tiếng Anh vào sáng mai.,HOP_LOP,sáng mai,255
VAN_PHONG,thứ 4 phải lịch hẹn tài liệu.,HEN_LICH,thứ 4,256
TRUONG_HOC,thứ 6 có kiểm tra môn tiếng Anh.,THI_CU,thứ 6,257
CA_NHAN,thứ 6 phải lịch hẹn gia đình.,HEN_CA_NHAN,thứ 6,258
CA_NHAN,hẹn gia đình trước thứ 6.,HEN_CA_NHAN,tối nay,259
VAN_PHONG,chủ nhật có nộp báo cáo công việc.,NOP_BAO_CAO,chủ nhật,260
VAN_PHONG,thứ 3 gửi báo cáo kế hoạch.,NOP_BAO_CAO,thứ 3,261
VAN_PHONG,ngày kia có hẹn gặp hợp đồng.,HEN_LICH,ngày kia,262
CA_NHAN,thứ 2 nhớ gia đình.,NHAC_VIEC,thứ 2,263
TRUONG_HOC,học bài môn tiếng Anh vào hôm nay.,HOC_TAP,hôm nay,264
TRUONG_HOC,thứ 6 phải chuẩn bị bài môn lập trình.,HOC_TAP,thứ 6,265
TRUONG_HOC,họp lớp môn văn trước cuối tuần.,HOP_LOP,cuối tuần,266
CA_NHAN,đặt mua đồ dùng cá nhân trước 10h.,MUA_SAM,cuối tuần,267
VAN_PHONG,thứ 6 có hoàn thành báo cáo dự án.,NOP_BAO_CAO,thứ 6,268
TRUONG_HOC,tối nay phải nộp bài tập môn văn.,NOP_BAI,tối nay,269
TRUONG_HOC,sinh hoạt lớp môn tiếng Anh vào hôm nay.,HOP_LOP,hôm nay,270
CA_NHAN,sáng mai đặt mua bạn bè.,MUA_SAM,sáng mai,271
TRUONG_HOC,thứ 3 phải họp lớp môn toán.,HOP_LOP,thứ 3,272
VAN_PHONG,hoàn thành báo cáo công việc trước ngày mai.,NOP_BAO_CAO,ngày mai,273
TRUONG_HOC,thứ 7 có chuẩn bị bài môn tiếng Anh.,HOC_TAP,thứ 7,274
CA_NHAN,thứ 2 phải nhớ đồ dùng cá nhân.,NHAC_VIEC,thứ 2,275
TRUONG_HOC,thứ 4 hoàn thành bài tập bài tập nhóm.,NOP_BAI,thứ 4,276
TRUONG_HOC,hôm nay thi cuối kỳ môn tiếng Anh.,THI_CU,hôm nay,277
TRUONG_HOC,thứ 3 phải sinh hoạt lớp bài tập nhóm.,HOP_LOP,thứ 3,278
TRUONG_HOC,thứ 6 phải họp lớp môn tiếng Anh.,HOP_LOP,thứ 6,279
VAN_PHONG,sáng mai phải hẹn gặp hợp đồng.,HEN_LICH,sáng mai,280
VAN_PHONG,soạn email hợp đồng trước 17h.,GUI_EMAIL,thứ 6,281
CA_NHAN,tối nay phải hẹn gia đình.,HEN_CA_NHAN,tối nay,282
TRUONG_HOC,sinh hoạt lớp môn tiếng Anh vào sáng mai.,HOP_LOP,sáng mai,283
VAN_PHONG,sáng mai có trả lời email kế hoạch.,GUI_EMAIL,sáng mai,284
TRUONG_HOC,sáng mai có sinh hoạt lớp bài tập nhóm.,HOP_LOP,sáng mai,285
VAN_PHONG,trả lời email dự án trước ngày mai.,GUI_EMAIL,ngày mai,286
TRUONG_HOC,sáng mai chuẩn bị bài môn lập trình.,HOC_TAP,sáng mai,287
CA_NHAN,sáng mai có lịch hẹn bác sĩ.,HEN_CA_NHAN,sáng mai,288
CA_NHAN,cuối tuần phải đi gặp bạn bè.,HEN_CA_NHAN,cuối tuần,289
TRUONG_HOC,kiểm tra môn văn trước ngày mai.,THI_CU,thứ 5,290
VAN_PHONG,thứ 2 phải trao đổi công việc.,HEN_LICH,thứ 2,291
CA_NHAN,đi gặp đồ dùng cá nhân trước 8h.,HEN_CA_NHAN,sáng mai,292
